problem,n,searchType,timeTaken
nqueens,4,breadthFirst,0.005593061447143555
nqueens,4,breadthFirst,0.005084037780761719
nqueens,4,breadthFirst,0.0051610469818115234
nqueens,5,breadthFirst,0.1044539213180542
nqueens,5,breadthFirst,0.106423020362854
nqueens,5,breadthFirst,0.10524404048919678
nqueens,6,breadthFirst,2.7878260612487793
nqueens,6,breadthFirst,2.760043978691101
nqueens,6,breadthFirst,2.7513500452041626
nqueens,7,breadthFirst,81.8707230091095
nqueens,7,breadthFirst,78.40207993984222
nqueens,7,breadthFirst,78.79932999610901
nqueens,4,depthFirst,0.004086017608642578
nqueens,4,depthFirst,0.0038650035858154297
nqueens,4,depthFirst,0.0039479732513427734
nqueens,5,depthFirst,0.005961060523986816
nqueens,5,depthFirst,0.005897998809814453
nqueens,5,depthFirst,0.006004929542541504
nqueens,6,depthFirst,1.4416019916534424
nqueens,6,depthFirst,1.4389580488204956
nqueens,6,depthFirst,1.443160891532898
nqueens,7,depthFirst,4.190369963645935
nqueens,7,depthFirst,4.177595019340515
nqueens,7,depthFirst,4.176998019218445
nqueens,4,iterativeDeepening,0.010600924491882324
nqueens,4,iterativeDeepening,0.010532975196838379
nqueens,4,iterativeDeepening,0.010488033294677734
nqueens,5,iterativeDeepening,0.13666999340057373
nqueens,5,iterativeDeepening,0.1365799903869629
nqueens,5,iterativeDeepening,0.1354449987411499
nqueens,6,iterativeDeepening,6.808701038360596
nqueens,6,iterativeDeepening,6.779541015625
nqueens,6,iterativeDeepening,6.8105950355529785
nqueens,7,iterativeDeepening,58.08671998977661
nqueens,7,iterativeDeepening,57.872798919677734
nqueens,7,iterativeDeepening,55.70084190368652
nqueens,7,depthFirst,4.5287240743637085
nqueens,7,depthFirst,4.455601930618286
nqueens,7,depthFirst,4.469202995300293
nqueens,8,depthFirst,63.88758301734924
nqueens,8,depthFirst,65.72905004024506
nqueens,8,depthFirst,62.2949560880661
nqueens,9,depthFirst,2138.4160549640656
nqueens,9,depthFirst,2314.1922760009766
